category_id,category_name
1,Electronics
2,Clothing
3,Books
4,Home & Kitchen
5,Sports & Fitness
6,Beauty & Health
7,Toys & Games
8,Food & Beverages
9,Automotive
10,Pet Supplies
11,Baby
12,Jewelry
13,Watches
14,Shoes
15,Software
16,Musical Instruments
17,Office Products
18,Industrial & Scientific
19,Arts & Crafts
20,Tools & Home Improvement
21,Garden & Outdoors
22,Grocery
23,Video Games
24,Movies & TV
25,CDs & Vinyl
26,Collectibles & Fine Art
27,Handmade
28,Furniture
29,Appliances
30,Health & Personal Care
