order_id,customer_id,order_date,status
1,1,2023-01-01,Completed
2,2,2023-01-02,Completed
3,3,2023-01-03,Completed
4,4,2023-01-05,Completed
5,5,2023-01-06,Completed
6,1,2023-01-07,Completed
7,2,2023-01-09,Completed
8,3,2023-01-10,Completed
9,4,2023-01-11,Completed
10,5,2023-01-13,Cancelled
11,1,2023-01-14,Completed
12,2,2023-01-16,Completed
13,3,2023-01-17,Returned
14,4,2023-01-18,Completed
15,5,2023-01-20,Completed
16,1,2023-01-21,Completed
17,2,2023-01-22,Completed
18,3,2023-01-24,Completed
19,4,2023-01-25,Completed
20,5,2023-01-26,Cancelled
21,1,2023-01-28,Completed
22,2,2023-01-29,Completed
23,3,2023-01-31,Completed
24,4,2023-02-01,Completed
25,5,2023-02-02,Completed
26,1,2023-02-04,Returned
27,2,2023-02-05,Completed
28,3,2023-02-06,Completed
29,4,2023-02-08,Completed
30,5,2023-02-09,Cancelled
31,1,2023-02-11,Completed
32,2,2023-02-12,Completed
33,3,2023-02-13,Completed
34,4,2023-02-15,Completed
35,5,2023-02-16,Completed
36,1,2023-02-17,Completed
37,2,2023-02-19,Completed
38,3,2023-02-20,Completed
39,4,2023-02-21,Returned
40,5,2023-02-23,Cancelled
41,1,2023-02-24,Completed
42,2,2023-02-26,Completed
43,3,2023-02-27,Completed
44,4,2023-02-28,Completed
45,5,2023-03-02,Completed
46,1,2023-03-03,Completed
47,2,2023-03-04,Completed
48,3,2023-03-06,Completed
49,4,2023-03-07,Completed
50,5,2023-03-08,Cancelled
51,1,2023-03-10,Completed
52,2,2023-03-11,Returned
53,3,2023-03-13,Completed
54,4,2023-03-14,Completed
55,5,2023-03-15,Completed
56,1,2023-03-17,Completed
57,2,2023-03-18,Completed
58,3,2023-03-19,Completed
59,4,2023-03-21,Completed
60,5,2023-03-22,Cancelled
61,1,2023-03-24,Completed
62,2,2023-03-25,Completed
63,3,2023-03-26,Completed
64,4,2023-03-28,Completed
65,5,2023-03-29,Returned
66,1,2023-03-30,Completed
67,2,2023-04-01,Completed
68,3,2023-04-02,Completed
69,4,2023-04-03,Completed
70,5,2023-04-05,Cancelled
71,1,2023-04-06,Completed
72,2,2023-04-08,Completed
73,3,2023-04-09,Completed
74,4,2023-04-10,Completed
75,5,2023-04-12,Completed
76,1,2023-04-13,Completed
77,2,2023-04-14,Completed
78,3,2023-04-16,Returned
79,4,2023-04-17,Completed
80,5,2023-04-18,Cancelled
81,6,2023-04-20,Completed
82,7,2023-04-21,Completed
83,8,2023-04-23,Completed
84,9,2023-04-24,Completed
85,10,2023-04-25,Completed
86,11,2023-04-27,Completed
87,12,2023-04-28,Completed
88,13,2023-04-29,Completed
89,14,2023-05-01,Completed
90,15,2023-05-02,Cancelled
91,6,2023-05-04,Returned
92,7,2023-05-05,Completed
93,8,2023-05-06,Completed
94,9,2023-05-08,Completed
95,10,2023-05-09,Completed
96,11,2023-05-10,Completed
97,12,2023-05-12,Completed
98,13,2023-05-13,Completed
99,14,2023-05-14,Completed
100,15,2023-05-16,Cancelled
101,6,2023-05-17,Completed
102,7,2023-05-19,Completed
103,8,2023-05-20,Completed
104,9,2023-05-21,Returned
105,10,2023-05-23,Completed
106,11,2023-05-24,Completed
107,12,2023-05-25,Completed
108,13,2023-05-27,Completed
109,14,2023-05-28,Completed
110,15,2023-05-29,Cancelled
111,6,2023-05-31,Completed
112,7,2023-06-01,Completed
